id,title,year,km,price,date,url
59953546.0,SEAT Alhambra 2.0 TDI DSG StSp Style GO,2020,91500,29750,2025-04-12,
59635734.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,98000,29990,2025-04-13,
60173314.0,SEAT Alhambra 2.0 TDI Eco SS Style,2020,56363,25490,2025-04-13,
60325993.0,SEAT Alhambra 2.0 TDI Eco SS Style,2020,41239,28990,2025-04-13,
60286189.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,88000,32600,2025-04-13,
60324413.0,VOLKSWAGEN Sharan Edition 2.0 TDI,2020,100000,29990,2025-04-13,
60307597.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,104667,33490,2025-04-13,
60138690.0,SEAT Alhambra 2.0 TDI Eco SS Style,2021,110000,24500,2025-04-13,
60301840.0,SEAT Alhambra 2.0 TDI Eco SS Style GO,2021,70000,25900,2025-04-13,
60148688.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,97298,25990,2025-04-13,
60160864.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,76000,29999,2025-04-13,
60005027.0,SEAT Alhambra 2.0 TDI DSG StSp Style GO,2020,85858,29700,2025-04-13,
59714928.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,99900,27900,2025-04-13,
60040028.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,110000,31900,2025-04-13,
58303799.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,91350,29990,2025-04-13,
60209620.0,VOLKSWAGEN Sharan Edition 2.0 TDI DSG,2020,93696,27490,2025-04-13,
60200721.0,VOLKSWAGEN Sharan Edition 2.0 TDI,2020,120000,23450,2025-04-13,
59928979.0,VOLKSWAGEN Sharan 1 Million 2.0 TDI DSG,2020,82938,36990,2025-04-13,
59662850.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,105932,20890,2025-04-13,
59763029.0,VOLKSWAGEN Sharan Advance 2.0 TDI DSG,2020,105000,29990,2025-04-13,
60094939.0,SEAT Alhambra 2.0 TDI Eco SS Style Trav,2020,98683,25495,2025-04-13,
59666943.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,99593,28990,2025-04-13,
59426055.0,SEAT Alhambra 2.0 TDI Eco SS Style Travel Ed,2021,71500,28800,2025-04-13,
59961059.0,SEAT Alhambra 2.0 TDI DSG StSp Style,2020,118000,26790,2025-04-13,
59766760.0,VOLKSWAGEN Sharan Sport 2.0 TDI DSG,2020,58000,37995,2025-04-13,
59953546.0,SEAT Alhambra 2.0 TDI DSG StSp Style GO,2020,91500,29750,2025-04-13,
59666943.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,99593,28990,2025-04-14,
59635734.0,VOLKSWAGEN Sharan Advance 2.0 TDI,2020,98000,29990,2025-04-14,
60173314.0,SEAT Alhambra 2.0 TDI Eco SS Style,2020,56363,25490,2025-04-14,
